offset,text
0,"It's the 19th of May 2012 - It's the Champions League final. Bayern vs Chelsea."
5,"#Chelsea beat Barcelona in the semi-finals, Bayern beat Real Madrid."
0,"The biggest game in club football. Welcome to Munich. The home of Bayern...and some home it is."
1,"One very bold selection. Ryan Bertrand starts in midfield."
0,"Chelsea team - Cech - Bosingwa - Cahill - Luiz - Cole - Lampard - Mikel - Kalou - Mata - Bertrand - Drogba."
1,"Chelsea subs - Turnbull - Essien - Romeu - Torres - Malouda - Ferreira - Sturridge."
0,"Bayern team - Neuer - Boateng - Lahm - Contento - Ribery - Robben - Schweinsteiger - Kroos - Tymoshchuk - Muller - Gomez."
1,"Bayern Subs - Butt - Van Buyten - Petersen - Olic - Rafinha - Usami - Pranjic."
0,"The referee for the game is Pedro Proenca."
1,"Kick off is moments away here in Munich."
1,"Unsere Stadt, Unser Stadion, Unser Pokal. They said..."
1,"The players are on the pitch. The hosts against the underdogs."
1,"The music. The flags... The Champioooooooonnsss."
0,"0' - Lampard to Drogba and we are under way!"
0,"0' - Early touches for Cech and Neuer."
0,"0' - 29 seconds and Kroos is down from a Cole foul. Game on."
1,"2' - YC - Schweinsteiger booked early for handball in midfield."
0,"4' - Ribery down the wing, goes to cross, misses the ball and collapses in front of the #Chelsea fans."
2,"5' - Already 5 minutes in, a fast start from Munich. #Chelsea yet to settle."
3,"7' - Kalou does well and beats three. Finds Drogba but over hits the cross. Out of reach of champions league débutante Bertrand."
1,"8' - The last time #Chelsea were in a champions league final Bertrand was just ending his loan at Oldham Athletic."
1,"10' - Drogba comes deep to rob the ball from Ribery and the Ivorian wins the free-kick."
4,"15' - #Chelsea fans are in fine voice. 15 minutes in, Cech goes long to Drogba but Bayern win second and third balls and break. #Chelsea sat deep."
5,"18' - Pressure building. Bosingwa misses his kick - another corner. Cech leaps and clears."
2,"20' - 20 minutes, Robben shoots Cech keeps it out via the woodwork corner. Cleared first scare."
1,"22' - #Chelsea break Kalou offside. #Chelsea return to their shape quickly."
3,"24' - 7 corners to Bayern already, latest well claimed by big Pete."
1,"28' - Robben free-kick hits the wall."
1,"30' - Quick passing from #Chelsea sees Bertrand one on one with Lahm who stands strong to block our man. 0-0."
0,"32' - Bosingwa reads the pull back and intercepts. Ball falls to Cech who boots to half way."
2,"32' - #ChelseaFC end up with free-kick on the edge of the box. Cahill fouled."
2,"34' - Mata takes the free-kick. It's up and over the wall - sadly it goes over the bar too."
2,"35' - Ribery shoots wide. Seconds later Muller volleys wide. Chance after chance now but all lacking the quality to open scoring."
2,"37' - Lampard finds Drogba but the Ivorian can't get the ball under control. Chance gone as Kalou tries to beat two."
2,"38' - Another attack from Chelsea finds Kalou with more space, his shot at the near post forces a save. 0-0."
2,"40' - Ribery volley sliced and falls to Muller who doesn't react quickly enough."
2,"43' - Mario Gomez blasts over after a Penalty shot after Luiz is a tad late & ballooned over the bar, best chance so far."
1,"44' - Almost HT now fast first half. #Chelsea fans sing about Dennis Wise, loud and clear. No real clear chances since Kalou's shot."
5,"45' - HT - Bayern 0 #Chelsea 0."
2,"HT - [ad] If you want £50 credit for changing energy supplier to #OctopusEnergy you can sign-up here http://share.octopus.energy/ideal-ant-315"
1,"HT - [ad] Invest in stocks and ETFs commission-free. Sign up and get a free share worth up to £200 to get started. https://freetrade.io/freeshare/?code=E68IV017GX&sender=Biomc1pQ "
1,"HT - [ad] Use Wealthify to start easily investing towards your goals. Use this link and we’ll both get £25 cashback! https://invest.wealthify.com/refer/14884798"
